,loss,accuracy,val_loss,val_accuracy
0,0.40139180421829224,0.8281841278076172,0.3865630328655243,0.8359037041664124
1,0.3805679380893707,0.8379594087600708,0.3762914538383484,0.842444121837616
2,0.36931222677230835,0.8417258858680725,0.361843466758728,0.8437166213989258
3,0.3630051612854004,0.8436968326568604,0.35565680265426636,0.8487046360969543
4,0.35807040333747864,0.8459306955337524,0.3415167033672333,0.8540744185447693
5,0.35649776458740234,0.8464905619621277,0.34118640422821045,0.8509950637817383
6,0.35377898812294006,0.8473275303840637,0.3403714895248413,0.8526747226715088
7,0.3512888550758362,0.8484020829200745,0.3372073769569397,0.856568455696106
8,0.34854087233543396,0.849629282951355,0.343831866979599,0.8536926507949829
9,0.34777745604515076,0.8502061367034912,0.3393220901489258,0.8523947596549988
